Chinese (Simplified),English,Category,Description,Reference,Chinese (Traditional),Korean,Japanese,Swedish,Polish,Dutch,Indonesian,Spanish,Turkish,Vietnamese,French,German,Italian,Russian,Portuguese,Thai,Malaysian,Arabic
支援网络,Support Network,,武器TPS技能名 | Weapon TPS Skill Name,,支援網路,지원 네트워크,支援ネット,Supportnätverk,Sieć wsparcia,Ondersteuningsnetwerk,Support Network,Red de apoyo,Destek Ağı,Mạng Lưới Hỗ Trợ,Réseau de soutien,Unterstützungsnetzwerk,Rete di supporto,Система поддержки,Rede de Apoio,เครือข่ายสนับสนุน,Rangkaian Sokongan,شبكة الدعم
破坏算法,Disruption Algorithm,,武器TPS技能名 | Weapon TPS Skill Name,,破壞演算法,파괴 알고리즘,破壊演算,Störningsalgoritm,Algorytm zakłócający,Verstoringsalgoritme,Disruption Algorithm,Algoritmo de disrupción,Bozma Algoritması,Thuật Toán Phá Vỡ,Algorithme de perturbation,Störalgorithmus,Algoritmo d'interruzione,Алгоритм разрушения,Algoritmo de Disrupção,อัลกอริทึมแทรกแซง,Algoritma Gangguan,خوارزمية التعطيل
过载打击,Overload Strike,,武器TPS技能名 | Weapon TPS Skill Name,,超載打擊,과부하 타격,過負荷ストライク,Överbelastande attack,Przeciążony cios,Overbelastingsaanval,Overload Strike,Impacto de sobrecarga,Aşırı Yük Vuruşu,Tấn Công Quá Tải,Frappe de surcharge,Übertaktungsschlag,Colpo di sovraccarico,Перегруженный удар,Golpe de Sobrecarga,โจมตีโอเวอร์โหลด,Serangan Beban Lebih,ضربة التحميل الزائد
超限解放,Limit Break Protocol,,武器TPS技能名 | Weapon TPS Skill Name,,超限解放,한계 해방 프로토콜,リミットブレイク,Gränskrossande protokoll,Protokół przełamania limitu,Limietdoorbraakprotocol,Limit Break Protocol,Protocolo de ruptura de límite,Sınır Aşımı Protokolü,Giao Thức Vượt Giới Hạn,Protocole de transcendance,Limitbruchprotokoll,Protocollo di superamento del limite,Предел допустимого,Protocolo de Superação,โปรโตคอลทลายขีดจำกัด,Protokol Tanpa Had,بروتوكول تجاوز الحد
秩序法则,Law and Order,,武器TPS技能名 | Weapon TPS Skill Name,,秩序法則,질서의 법칙,秩序の法則,Lag och ordning,Prawo i porządek,Orde en recht,Law and Order,Ley y orden,Kanun ve Düzen,Pháp Luật và Trật Tự,Loi et ordre,Recht und Ordnung,Ordine pubblico,Закон и порядок,Lei e Ordem,กฎและระเบียบ,Undang-undang dan Ketertiban,القانون والنظام
秩序法则-强化,Law and Order - Enhancement,,武器TPS技能名 | Weapon TPS Skill Name,,秩序法則-強化,질서의 법칙 - 강화,秩序の法則・強化,Lag och ordning – förbättring,Prawo i porządek – wzmocnienie,Orde en recht - verbetering,Law and Order - Peningkatan,Ley y orden: mejora,Kanun ve Düzen - Geliştirilmiş,Pháp Luật và Trật Tự – Cường Hóa,Loi et ordre - Enchantement,Recht und Ordnung – Verstärkung,Ordine pubblico - Miglioramento,Закон и порядок — усиление,Lei e Ordem - Aprimoramento,กฎและระเบียบ - การเสริมพลัง,Undang-undang dan Ketertiban - Peningkatan,القانون والنظام - تعزيز
因果序列,Causal Sequence,,武器TPS技能名 | Weapon TPS Skill Name,,因果序列,인과 연쇄,因果連鎖,Kausal sekvens,Zwykła sekwencja,Causale volgorde,Causal Sequence,Secuencia causal,Nedensellik Zinciri,Chuỗi Nhân Quả,Séquence causale,Kausalkette,Sequenza causale,Причина и следствие,Sequência Causal,ลำดับเหตุและผล,Urutan Sebab,التسلسل السببي
服务器匹配池,Server Matching Pool,,,,伺服器配對池,서버 매칭 풀,マッチングサーバー,Pool för servermatchning,Pula dopasowywania serwerów,Servermatchingpool,Pool Pencocokan Server,Grupo de emparejamiento de servidores,Sunucu Eşleşme Havuzu,Nhóm Ghép Máy Chủ,Pool de matchmaking des serveurs,Server-Matchingpool,Gruppo di abbinamento server,База подбора сервера,Grupo de Pareamento de Servidores,กลุ่มจับคู่เซิร์ฟเวอร์,Pengumpulan Padanan Pelayan,مجموعة مطابقة الخوادم
星界移民,Interstellar Migration,,,,星界移民,성계 이주,星系移住,Interstellär migration,Migracja Międzygwiezdna,Interstellaire migratie,Migrasi Antarbintang,Migración interestelar,Yıldızlararası Göç,Di Cư Liên Sao,Migration interstellaire,Interstellare Migration,Migrazione interstellare,Межзвездное перемещение,Migração Interestelar,การย้ายดวงดาว,Migrasi Antara Bintang,الترحيل بين النجوم
移民指南,Migration Guide,,,,移民指南,이전 가이드,移住ガイド,Migrationsguide,Przewodnik po migracji,Migratiegids,Panduan Migrasi,Guía de migración,Göç Kılavuzu,Hướng Dẫn Di Cư,Guide de migration,Migrationsanleitung,Guida alla migrazione,Руководство по перемещению,Guia de Migração,วิธีย้าย,Panduan Migrasi,دليل الترحيل
移民中继站,Migration Relay Station,,,,移民中繼站,이전 중계소,移住リレーステーション,Relästation för migration,Stacja tranzytowa migracji,Migratie-ruimtesprongrelais,Stasiun Relai Migrasi,Estación repetidora de migración,Göç Aktarma İstasyonu,Trạm Chuyển Tiếp Di Cư,Station relais de migration,Migrationsstation,Ripetitore di migrazione,Ретранслятор перемещения,Estação de Retransmissão de Migração,สถานีรีเลย์การย้าย,Stesen Geganti Migrasi,محطة تقوية الترحيل
移民实力分,Migration Power Rating,,,,移民實力分,이전 전투력 포인트,移住戦力値,Kraftbetyg för migration,Ocena mocy w trakcie migracji,Migratiekrachtscore,Peringkat Kekuatan Migrasi,Calificación de poder de migración,Göç Güç Puanı,Xếp Hạng Chiến Lực Di Cư,Score de puissance de migration,Migrationskampfkraft,Valutazione potenza di migrazione,Рейтинг силы для перемещения,Classificação de Poder de Migração,คะแนนพลังการย้าย,Penarafan Kuasa Migrasi,تقييم قوة الترحيل
移民凭证,Migration Permit,,,,移民憑證,이주 증빙,移住許可証,Migrationstillstånd,Pozwolenie na migrację,Migratievergunning,Izin Migrasi,Permiso de migración,Göç İzni,Giấy Phép Di Cư,Permis de migration,Migrationsgenehmigung,Permesso di migrazione,Разрешение на перемещение,Permissão de Migração,ใบอนุญาตการย้าย,Permit Migrasi,تصريح الترحيل
移民官,Migration Officer,,,,移民官,이전 담당자,移住担当官,Migrationstjänsteman,Oficer migracji,Migratieofficier,Petugas Migrasi,Oficial de migración,Göç Yetklisi,Điều Phối Viên Di Cư,Agent de migration,Migrationsoffizier,Ufficiale di migrazione,Администратор перемещения,Oficial de Migração,เจ้าหน้าที่การย้าย,Pegawai Migrasi,مسؤول الترحيل
头部商会,Top Commerce Guild,,,,頂尖商會,상위 길드,上位ギルド,Främsta handelsgillen,Najlepsza gildia handlowa,Top-handelsgilde,Guild Perdagangan Teratas,Gremio de comercio líder,Lider Ticaret Loncası,Thương Hội Hàng Đầu,Guilde de niveau élevé,Top-Händlergilde,Migliore Gilda del commercio,Лучшая торговая гильдия,Guilda Comercial Principal,สมาคมการค้าอันดับสูงสุด,Persatuan Perdagangan Teratas,أفضل نقابة تجارة
人才招募,Talent Recruitment,,,,人才招募,인재 모집,人材募集,Talangrekrytering,Rekrutacja Talentów,Talentwerving,Rekrutmen Talenta,Reclutamiento de Talentos,Yetenek Alımı,Tuyển dụng Nhân tài,Recrutement de talents,Talentakquise,Reclutamento di Talenti,Набор талантов,Recrutamento de Talentos,สรรหาบุคลากร,Pengambilan Bakat,تجنيد المواهب
服务器招募,Server Recruitment,,,,伺服器招募,서버 모집,サーバー募集,Rekrytering till server,Rekrutacja na serwer,Serverwerving,Rekrutmen Server,Reclutamiento del servidor,Sunucu Alımları,Chiêu Mộ Máy Chủ,Recrutement de serveurs,Serverrekrutierung,Reclutamento server,Вербовка на сервере,Recrutamento de Servidor,การรับสมัครเซิร์ฟเวอร์,Perekrutan Pelayan,تجنيد الخادم
个人实力,Individual Power,,,,個人實力,개인 전투력,個人戦力,Individuell Kraft,Moc indywidualna,Individuele kracht,Kekuatan Individu,Poder individual,Bireysel Güç,Chiến Lực Cá Nhân,Puissance individuelle,Persönliche Kampfkraft,Potenza individuale,Личная сила,Poder Individual,พลังส่วนบุคคล,Kuasa Individu,قوة الفرد
移民实力,Migration Power,,,,移民實力,이전 전투력,移住戦力,Migrationskraft,Moc migracji,Migratiekracht,Kekuatan Migrasi,Poder de migración,Göç Gücü,Chiến Lực Di Cư,Puissance de migration,Migrationskampfkraft,Potenza di migrazione,Сила перемещения,Poder de Migração,พลังการย้าย,Kuasa Migrasi,طاقة الترحيل
复兴者,Revivalist,,,,復興者,부흥자,復興者,Återuppväckare,Odrodzeniec,Herlevingsgezinde,Revivalist,Revivalista,Dirilişçi,Người Phục Hưng,Revivaliste,Erneuerer,Revivalista,Возродитель,Revivalista,ผู้กอบกู้,Tokoh Pembaharuan,إحيائي
贡献者,Contributor,,,,貢獻者,기여자,貢献者,Bidragare,Pomocnik,Bijdrager,Kontributor,Colaborador,Katılımcı,Người Cống Hiến,Partenaire,Stifter,Contribuente,Вкладчик,Colaborador,ผู้สนับสนุน,Penyumbang,المسهم
开拓者,Pioneer,,,,開拓者,개척자,開拓者,Pionjär,Pionier,Pionier,Pionir,Pionero,Önder,Người Tiên Phong,Pionnier,Pionier,Pioniere,Первопроходец,Pioneiro,ผู้บุกเบิก,Perintis,رائد
追随者,Follower,,,,追隨者,추종자,追随者,Anhängare,Wyznawca,Volgeling,Pengikut,Seguidor,Takipçi,Người Đồng Hành,Adepte,Anhänger,Seguace,Последователь,Seguidor,ผู้ติดตาม,Pengikut,متابع
行星情报,Planetary Intel,,,,行星情報,행성 정보,惑星情報,Planetär underrättelserapport,Dane planetarne,Planetaire inlichtingen,Intel Planetary,Información planetaria,Gezegen İstihbaratı,Tình Báo Hành Tinh,Renseignements planétaires,Planetarische Informationen,Informazioni planetarie,Планетарные разведданные,Inteligência Planetária,ข่าวกรองดาวเคราะห์,Intel Planet,المعلومات الكوكبية
伊森,Ethan,,船员名 | Crew Member Name,,伊森,에단,イーサン,Ethan,Ethan,Ethan,Ethan,Ethan,Ethan,Ethan,Ethan,Ethan,Ethan,Итан,Ethan,อีธาน,Ethan,إيثان
莉娜,Lina,,船员名 | Crew Member Name,,莉娜,리나,リナ,Lina,Lina,Lina,Lina,Lina,Lina,Lina,Lina,Lina,Lina,Лина,Lina,ลีนา,Lina,لينا
墨菲,Murphy,,船员名 | Crew Member Name,,墨菲,머피,マーフィー,Murphy,Murphy,Murphy,Murphy,Murphy,Murphy,Murphy,Murphy,Murphy,Murphy,Мерфи,Murphy,เมอร์ฟี,Murphy,مورفي
墨菲·莱利,Murphy Riley,,船员名 | Crew Member Name,,墨菲·萊利,머피·라일리,マーフィー・ライリー,Murphy Riley,Murphy Riley,Murphy Riley,Murphy Riley,Murphy Riley,Murphy Riley,Murphy Riley,Murphy Riley,Murphy Riley,Murphy Riley,Мерфи Райли,Murphy Riley,เมอร์ฟี ไรลีย์,Murphy Riley,مورفي رايلي
幸运检索,Lucky Retrieval,,节日船员技能名称 | Crew Skill Name,,幸運檢索,행운의 탐색,ラッキーサーチ,Tursam sökning,Szczęśliwe odzyskanie,Geluksberging,Lucky Retrieval,Recuperación de la Suerte,Şanslı Geri Kazanım,Thu Thập May Mắn,Récupération fortuite,Glückliche Suche,Recupero fortunato,Удачная стыковка,Recuperação Sortuda,กู้คืนโชคดี,Pencarian Bertuah,الاسترداد المواتي
信仰屏障,Faith Barrier,,,,信仰屏障,신앙의 장벽,信仰の障壁,Trons barriär,Bariera wiary,Geloofsbarrière,Faith Barrier,Barrera de fe,İnanç Kalkanı,Lá Chắn Đức Tin,Barrière de la foi,Glaubensbarriere,Barriera di fede,Барьер веры,Barreira de Fé,ม่านพลังแห่งศรัทธา,Perisai Kepercayaan,حاجز المعتقد
全平台上线庆典,Global Launch Celebration,,活动标题 | Event Title,,全平台上線慶典,전 플랫폼 출시 기념 축제,グローバルローンチ記念,Global lanseringsfirande,Globalne świętowanie premiery,Feestelijke wereldwijde lancering,Perayaan Peluncuran Global,Celebración del lanzamiento global,Küresel Lansman Kutlaması,Lễ Kỷ Niệm Ra Mắt Toàn Cầu,Célébration du lancement mondial,Feier zum globalen Launch,Festeggiamenti per il lancio globale,Празднование глобального запуска,Celebração do Lançamento Global,ฉลองการเปิดตัวทั่วโลก,Sambutan Pelancaran Global,احتفال الإطلاق العالمي
庆典专属超值礼包,Celebration Exclusive Value Pack,,活动道具 | Event Item,,慶典專屬超值禮包,축제 전용 초대박 패키지,記念限定スペシャルパック,Exklusivt värdepaket för firandet,Ekskluzywny wartościowy pakiet z okazji premiery,Feestelijke exclusieve voordeelbundel,Paket Istimewa Eksklusif Perayaan,Paquete de valor exclusivo de la celebración,Kutlamaya Özel Avantaj Paketi,Gói Giá Trị Độc Quyền Lễ Kỷ Niệm,Pack de célébration exclusif,Exklusives Angebotspaket zur Feier,Pacchetto convenienza esclusivo per i festeggiamenti,Эксклюзивный праздничный ценный набор,Pacote de Valor Exclusivo da Celebração,แพ็กสุดคุ้มพิเศษเฉพาะช่วงเฉลิมฉลอง,Pek Nilai Eksklusif Sambutan,حزمة القيم الحصرية للاحتفال
收藏,Favorite,,,,收藏,수집,お気に入り,Favorit,Ulubiony,Aan favorieten toevoegen,Favorit,Favorito,Favori,Yêu Thích,Favoris,Favorit,Preferito,Избранное,Favorito,รายการโปรด,Kegemaran,المفضلة
添加备注,Add Note,,,,新增備註,비고 추가,メモを追加,Lägg till anteckning,Dodaj notatkę,Notitie toevoegen,Tambahkan Catatan,Agregar nota,Not Ekle,Thêm Ghi Chú,Ajouter une note,Notiz hinzufügen,Aggiungi nota,Добавить заметку,Adicionar Nota,เพิ่มบันทึก,Tambah Nota,إضافة ملحوظة
中立,Neutral,,,,中立,보통,中立,Neutral,Neutralny,Neutraal,Netral,Neutral,Tarafsız,Trung Lập,Neutre,Neutral,Indifferente,Нейтрально,Neutro,เป็นกลาง,Neutral,محايد
友好,Friendly,,,,友好,우호,友好,VÄNLIG,PRZYJACIEL,VRIENDELIJK,Ramah,Amigable,DOST,THÂN THIỆN,AMICAL,VERBÜNDET,AMICHEVOLE,ДРУЖЕСТВ.,Amigável,มิตร,SEKUTU,ودود
敌对,Hostile,,,,敵對,적대,敵対,FIENTLIG,WRÓG,VIJANDIG,Bermusuhan,Hostil,DÜŞMAN,THÙ ĐỊCH,HOSTILE,FEINDLICH,OSTILE,ВРАЖДЕБН.,Hostil,ศัตรู,MUSUH,عدواني
